"mill_cd","codes","type","code_type","dscr","tax_dist","name","curr","tot_mill","percent_rounded"
"001413","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","93.125000","21.22"
"001414","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","115.187000","17.15"
"001417","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","174.157000","11.34"
"001418","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","94.125000","20.99"
"001419","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","172.214000","11.47"
"001420","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","172.904000","11.43"
"001421","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","175.404000","11.26"
"001422","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","110.053000","17.95"
"001423","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","124.125000","15.92"
"001424","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","93.806000","21.06"
"001425","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","94.806000","20.84"
"001426","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","106.872000","18.49"
"001427","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","106.872000","18.49"
"001428","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","110.053000","17.95"
"001429","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","109.321000","18.07"
"001430","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","110.321000","17.91"
"001431","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","103.107000","19.16"
"001432","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","93.273000","21.18"
"001433","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","97.673000","20.23"
"001434","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","104.603000","18.89"
"001435","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","103.603000","19.07"
"001436","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","104.603000","18.89"
"001437","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","127.373000","15.51"
"001438","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","127.373000","15.51"
